"Ubicacion","Oferta_Media","Oferta_Mediana","Oferta_Min","Oferta_Max","plazas","personas_ofertando"
" Denmark",510,510,510,510,1,25
"Argentina",136,136,136,136,1,11
"Armenia",20,20,20,20,1,30
"Bangladesh",24,24,24,24,1,7
"Germany",117.5,117.5,24,211,2,76
"Hong Kong",23,23,23,23,1,14
"India",64.375,35,8,183,8,78
"Italy",479,479,479,479,1,46
"Kosovo",123,123,123,123,1,20
"Malaysia",2022,2022,2020,2024,2,46
"Moldova",492,492,492,492,1,32
"Netherlands",877.5,877.5,263,1492,2,13
"Nigeria",265,265,25,505,2,11
"Russian Federation",147,147,147,147,1,7
"Spain",24,24,24,24,1,2
"Sweden",92,23,10,243,3,22
"United Arab Emirates",18,18,18,18,1,12
"United Kingdom",175.666666666667,222,27,278,3,21
"United States",155.555555555556,83,8,527,9,226
